OBJECTID,ADDRESS,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,TOWN,TOWN_ID,ZIPCODE,STATUS
323088763,53 WALNUT STREET,53,WALNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323088755,40 WALNUT STREET,40,WALNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323088760,50-58 WALNUT STREET,50-58,WALNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323088761,50 WALNUT STREET,50,WALNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323088773,12 WALTON STREET,12,WALTON STREET,,,,WALTHAM,308,02451,ACTIVE
323088775,21 WALTON STREET,21,WALTON STREET,,,,WALTHAM,308,02451,ACTIVE
323088776,25 WALTON STREET,25,WALTON STREET,,,,WALTHAM,308,02451,ACTIVE
323088779,32 WALTON STREET,32,WALTON STREET,,,,WALTHAM,308,02451,ACTIVE
323088781,8 WAMPUM AVENUE,8,WAMPUM AVENUE,,,,WALTHAM,308,02451,ACTIVE
323088784,17 WAMPUM AVENUE,17,WAMPUM AVENUE,,,,WALTHAM,308,02451,ACTIVE
323088786,21 WAMPUM AVENUE,21,WAMPUM AVENUE,,,,WALTHAM,308,02451,ACTIVE
323088794,7 WAMSUTTA AVENUE,7,WAMSUTTA AVENUE,,,,WALTHAM,308,02451,UNASSIGNED
323088799,20 WAMSUTTA AVENUE,20,WAMSUTTA AVENUE,,,,WALTHAM,308,02451,ACTIVE
323088805,30 WAMSUTTA AVENUE,30,WAMSUTTA AVENUE,,,,WALTHAM,308,02451,ACTIVE
323088808,35 WAMSUTTA AVENUE,35,WAMSUTTA AVENUE,,,,WALTHAM,308,02451,ACTIVE
323088811,41 WAMSUTTA AVENUE,41,WAMSUTTA AVENUE,,,,WALTHAM,308,02451,UNASSIGNED
323089783,45 WINTER STREET,45,WINTER STREET,,,,WALTHAM,308,02451,ACTIVE
323089766,35 WINGATE ROAD,35,WINGATE ROAD,,,,WALTHAM,308,02451,ACTIVE
323089768,9 WINSOM AVENUE,9,WINSOM AVENUE,,,,WALTHAM,308,02453,ACTIVE
323089780,34 WINTER STREET,34,WINTER STREET,,,,WALTHAM,308,02451,LINKED
323089787,55 WINTER STREET,55,WINTER STREET,,,,WALTHAM,308,02451,ACTIVE
323089788,61 WINTER STREET,61,WINTER STREET,,,,WALTHAM,308,02451,ACTIVE
323089789,67 WINTER STREET,67,WINTER STREET,,,,WALTHAM,308,02451,ACTIVE
323089796,98 WINTER STREET,98,WINTER STREET,,,,WALTHAM,308,02451,ACTIVE
323075152,32 CUTTER STREET,32,CUTTER STREET,,,,WALTHAM,308,02453,ACTIVE
323075130,97-99 CUSHING STREET,97-99,CUSHING STREET,,,,WALTHAM,308,02453,LINKED
323075135,102 CUSHING STREET,102,CUSHING STREET,,,,WALTHAM,308,02453,ACTIVE
323075150,16 CUTTER STREET,16,CUTTER STREET,,,,WALTHAM,308,02453,ACTIVE
323075161,11 CUTTING LANE,11,CUTTING LANE,,,,WALTHAM,308,02453,ACTIVE
323076168,29 FARNUM ROAD,29,FARNUM ROAD,,,,WALTHAM,308,02453,ACTIVE
323075173,12 DALE STREET,12,DALE STREET,,,,WALTHAM,308,02451,LINKED
323075177,46 DALE STREET,46,DALE STREET,,,,WALTHAM,308,02451,SITE_REVIEW
323075183,56 DALE STREET,56,DALE STREET,,,,WALTHAM,308,02451,ACTIVE
