STREETNAME,zone,whole_street_in_zone,lowest_number_on_segment,highest_number_on_segment,notes
SMITH STREET,1,TRUE,,,
SNOW CIRCLE,1,TRUE,,,
SOUTH STREET,12,TRUE,,,
SPARKILL STREET,2,TRUE,,,
SPENCER STREET,-1,TRUE,,,not found on map: https://walthamgis.maps.arcgis.com/apps/View/index.html?appid=dfae686b83d5473f902dd3099985121c
SPRING STREET,9,TRUE,,,
SPRUCE STREET,13,TRUE,,,
STANDISH COURT,10,TRUE,,,
STANLEY ROAD,5,TRUE,,,
STEARNS HILL ROAD,1,TRUE,,,
STEARNS STREET,10,TRUE,,,
STERLING ROAD,8,TRUE,,,
STONE ROAD,7,TRUE,,,
STOW STREET,8,TRUE,,,
STRATTON TERRACE,9,TRUE,,,
SUMMER AVENUE,5,TRUE,,,
SUMMER STREET,5,TRUE,,,
SUMMIT AVENUE,8,TRUE,,,
SUMMIT STREET,8,FALSE,10,10000,
SUMMIT STREET,5,FALSE,0,9,
SUN STREET,9,TRUE,,,
SUNNYSIDE STREET,12,TRUE,,,
SUNSET ROAD,8,TRUE,,,
SYCAMORE STREET (WATERTOWN),-1,TRUE,,,watertown
SYLVAN ROAD,3,TRUE,,,
TAVERN ROAD,8,TRUE,,,
TAYLOR STREET,10,TRUE,,,
TECHNOLOGY DRIVE,-1,TRUE,,,
TEMPLE ROAD,2,TRUE,,,
TENNYSON ROAD,7,TRUE,,,
